ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"186.47.23.6","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","190","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","1593","1","2024-03-27T05:27:33.897Z","98","6491","6633"
"202.91.186.129","elite","AS4808","CN","China Unicom Beijing Province Network","169","Beijing Sunway Xunteng Technology Development Co., Ltd","4145","socks4","1598","1","2024-03-27T05:27:33.903Z","91","5990","6594"
"203.23.103.19","elite","AS209242","BZ","Cloudflare London, LLC","12","Umpire Associates LTD","80","socks4","4402","1","2024-03-27T05:27:33.814Z","100","6604","6604"
"104.17.66.69","elite","AS13335","CA","Cloudflare, Inc.","78","Cloudflare, Inc.","80","socks4","5093","1","2024-03-27T05:27:30.596Z","100","6674","6675"
"202.183.24.38","elite","AS131736","ID","BIGNET","888","N/A","5678","socks4","2990","1","2024-03-27T05:27:30.598Z","74","4940","6656"
"63.239.150.226","elite","AS209","US","CenturyLink Communications","120","DEN VENTURE PARTNERS","5678","socks4","4200","1","2024-03-27T05:27:27.503Z","100","6614","6615"
"159.203.105.85","elite","AS14061","US","DigitalOcean, LLC","79","Digital Ocean","7497","socks5","4606","1","2024-03-27T05:27:27.510Z","97","6440","6638"
"45.7.176.78","elite","AS266626","BR","Litoral Telecom","173","Litoral Telecom","52246","socks4","901","1","2024-03-27T05:27:27.596Z","99","6596","6676"
"170.81.108.44","elite","AS266416","BR","L3 NETWORKS E TELECOMUNICACOES LTDA","284","L3 NETWORKS E TELECOMUNICACOES LTDA","4153","socks4","4412","1","2024-03-27T05:27:27.513Z","99","6557","6599"
"103.117.109.9","elite","AS137935","BD","I Link Internet Service (I.T)","183","I Link Internet Service (I.T)","4153","socks4","196","1","2024-03-27T05:27:24.399Z","55","3653","6597"
"92.222.237.74","elite","AS16276","FR","OVH SAS","6","LCC LCC","8888","socks5","3713","1","2024-03-27T05:27:24.205Z","100","6682","6682"
"116.118.48.140","elite","AS63760","VN","AZDIGI Corporation","208","N/A","33739","socks5","4602","1","2024-03-27T05:27:24.397Z","51","3386","6686"
"103.109.59.109","elite","AS138640","BD","HelloTech Limited","158","Hello Tech Limited","1080","socks4","4698","1","2024-03-27T05:27:24.401Z","85","5666","6668"
"43.134.237.27","elite","AS132203","SG","Aceville Pte.ltd","336","N/A","443","socks4","3801","1","2024-03-27T05:27:19.799Z","94","6249","6654"
"5.130.185.31","elite","AS31200","RU","Novotelecom Ltd","93","Novotelecom ltd.","10801","socks5","713","1","2024-03-27T05:27:19.697Z","73","4883","6661"
"161.97.66.104","elite","AS51167","DE","Contabo GmbH","17","Contabo GmbH","14109","socks4","2313","1","2024-03-27T05:27:19.702Z","100","6542","6558"
"123.30.149.92","elite","AS45899","VN","VNPT","260","Vietnam Posts and Telecommunications Group","8444","socks4","4199","1","2024-03-27T05:27:19.600Z","17","1138","6652"
"185.171.54.34","elite","AS44285","IR","Shahrad","111","N/A","4153","socks4","2911","1","2024-03-27T05:27:18.901Z","95","6350","6675"
"44.190.9.50","elite","AS15102","US","Xplore Inc.","134","Amateur Radio Digital Communications","48100","socks4","2298","1","2024-03-27T05:27:18.810Z","99","6505","6541"
"118.172.227.30","elite","AS23969","TH","TOT Public Company Limited","200","TOT Public Company Limited","5678","socks4","2996","1","2024-03-27T05:27:15.513Z","100","6733","6763"
"89.249.253.10","elite","AS31370","RU","Mosline ISP","48","OOO Montaj Telecom Service","80","socks4","4602","1","2024-03-27T05:27:15.299Z","99","6551","6622"
"104.20.75.132","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","3594","1","2024-03-27T05:27:15.302Z","100","6718","6718"
"89.22.17.62","elite","AS48166","RU","Fortex Cjsc","50","Fortex AS48166","43110","socks4","5201","2","2024-03-27T05:27:15.313Z","100","6674","6685"
"112.250.211.161","elite","AS4837","CN","China Unicom CHINA169 Shandong Province Network","171","N/A","38801","socks4","3108","1","2024-03-27T05:27:12.201Z","90","5890","6558"
"65.20.99.23","elite","AS20473","ES","The Constant Company","77","Vultr Holdings, LLC","20473","socks4","799","1","2024-03-27T05:27:12.203Z","47","3165","6673"
"125.164.149.210","elite","AS7713","ID","PT. TELKOM INDONESIA","243","N/A","5678","socks4","4284","1","2024-03-27T05:27:12.305Z","86","5800","6718"
"119.18.152.140","elite","AS55685","ID","PT. Jala Lintas Media","175","N/A","4145","socks4","4615","1","2024-03-27T05:27:08.703Z","99","6645","6703"
"181.66.37.210","elite","AS6147","PE","Telefonica del Peru S.A.A.","217","Telefonica del Peru S.A.A","4153","socks4","884","1","2024-03-27T05:27:08.404Z","67","4430","6650"
"45.235.148.5","elite","AS268202","BR","F R BRAGA INFORMATICA ME","201","F R BRAGA INFORMATICA ME","3629","socks4","1107","1","2024-03-27T05:27:08.706Z","99","6674","6723"
"113.160.16.142","elite","AS45899","VN","VietNam Post and Telecom Corporation","255","Vietnam Posts and Telecommunications Group","5678","socks4","4501","1","2024-03-27T05:27:08.401Z","95","6393","6702"
